City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,bazarak,35.3129,69.5152,291.93,55,19,3.16,AF,1686679558
197,dudinka,69.4058,86.1778,278.4,79,100,4.69,RU,1686679558
198,red hill,33.9996,-79.2581,304.89,53,49,5.98,US,1686679558
199,quellon,-43.1167,-73.6167,280.29,87,100,2.06,CL,1686679450
200,brusyliv,50.2845,29.5263,288.25,79,100,1.81,UA,1686679560
201,soissons,49.3333,3.3333,299.49,66,9,2.04,FR,1686679560
202,saldanha,-33.0117,17.9442,287.99,87,100,9.83,ZA,1686679561
203,probolinggo,-7.7543,113.2159,297.87,79,69,4.68,ID,1686679561
204,abbadia san salvatore,42.8821,11.6695,289.09,88,99,0.84,IT,1686679561
205,porto novo,6.4965,2.6036,299.63,72,80,3.96,BJ,1686679562
206,onega,63.9061,38.1404,285.32,89,88,3.1,RU,1686679562
207,east london,-33.0153,27.9116,293.65,45,78,7.73,ZA,1686679265
208,kingston,17.997,-76.7936,308.84,54,29,0.89,JM,1686679502
209,queimadas,-10.9783,-39.6264,302.71,44,85,3.05,BR,1686679563
210,kununurra,-15.7667,128.7333,290.14,82,13,0.0,AU,1686679564
211,westport,41.1415,-73.3579,298.3,69,100,5.14,US,1686679564
212,harris hill,42.9648,-78.6775,294.0,46,20,4.63,US,1686679564
213,brookings,44.3114,-96.7984,300.42,37,0,5.66,US,1686679565
214,lisakovsk,52.5369,62.4936,286.07,47,22,4.22,KZ,1686679565
215,taulaga,-11.0553,-171.0883,300.67,81,19,4.61,AS,1686679566
216,hadibu,12.65,54.0333,301.37,77,100,7.51,YE,1686679567
217,lamu,-2.2717,40.902,298.27,82,0,4.84,KE,1686679567
218,saint-joseph,-21.3667,55.6167,295.36,77,7,1.75,RE,1686679568
219,jayapura,-2.5333,140.7,296.81,90,59,1.96,ID,1686679568
220,nogliki,51.8333,143.1667,277.0,99,100,2.23,RU,1686679569
221,sinabang,2.4803,96.3801,300.21,75,43,0.94,ID,1686679295
222,kavieng,-2.5744,150.7967,298.98,90,100,6.03,PG,1686679569
223,gubkinskiy,64.434,76.5026,281.78,52,99,4.64,RU,1686679340
224,dori,14.0354,-0.0345,309.33,31,25,1.78,BF,1686679570
225,gumdag,39.2061,54.5906,306.58,19,0,2.97,TM,1686679570
226,lodja,-3.4833,23.4333,297.72,70,56,0.14,CD,1686679571
227,mega,4.05,38.3,289.92,71,84,1.38,ET,1686679571
228,yeniseysk,58.4497,92.1703,280.76,78,90,2.33,RU,1686679571
229,yemetsk,63.4721,41.7941,292.19,42,64,4.93,RU,1686679572
230,arar,30.9753,41.0381,303.87,20,0,4.76,SA,1686679573
231,egletons,45.4034,2.0507,290.36,93,97,2.3,FR,1686679573
232,conception bay south,47.4999,-52.9981,284.57,88,100,6.2,CA,1686679573
233,tura,25.5198,90.2201,296.77,94,29,2.95,IN,1686679574
234,atamyrat,37.8357,65.2106,305.42,11,0,3.59,TM,1686679574
235,long beach,33.767,-118.1892,295.36,74,100,5.66,US,1686679574
236,pamandzi,-12.7967,45.2794,299.03,73,0,3.09,YT,1686679575
237,tazacorte,28.629,-17.9293,295.69,85,75,4.12,ES,1686679575
238,banlung,13.7468,107.0045,295.38,98,96,0.24,KH,1686679576
239,isla vista,34.4133,-119.861,298.7,66,100,3.09,US,1686679494
240,lira,2.235,32.9097,291.75,96,93,2.54,UG,1686679576
241,vadso,70.0744,29.7487,281.64,57,40,8.23,NO,1686679577
242,lake munmorah,-33.1936,151.5719,284.53,83,9,6.21,AU,1686679577
243,tarawa,1.419,172.984,301.2,83,40,1.03,KI,1686679577
244,roma,43.2128,-75.4557,294.23,56,100,3.09,US,1686679382
245,swakopmund,-22.6833,14.5333,287.58,84,7,1.79,NA,1686679315
246,mccook,40.2019,-100.6257,295.4,64,100,4.12,US,1686679578
247,salalah,17.0151,54.0924,301.95,83,89,4.4,OM,1686679579
248,tralee,52.2704,-9.7026,293.69,82,77,1.34,IE,1686679579
249,poyarkovo,49.6,128.6833,290.94,96,100,2.73,RU,1686679580
250,matane,48.8286,-67.522,294.75,55,0,3.34,CA,1686679580
251,bikenibeu village,1.3673,173.1241,301.13,83,40,1.03,KI,1686679581
252,portland,45.5234,-122.6762,295.16,65,75,1.54,US,1686679462
253,fort bragg,35.139,-79.006,301.23,45,20,2.57,US,1686679581
254,siyabuswa,-25.1132,29.0445,287.66,34,0,2.76,ZA,1686679582
255,kerikeri,-35.2268,173.9474,278.66,94,15,2.02,NZ,1686679582
256,udachny,66.4167,112.4,284.23,50,7,2.03,RU,1686679464
257,thompson,55.7435,-97.8558,285.05,47,100,3.51,CA,1686679583
258,la passe,45.5549,-0.8967,300.28,82,99,4.45,FR,1686679583
259,saipan,15.1355,145.701,300.73,100,20,4.12,MP,1686679583
260,lavington,-36.05,146.9333,281.33,100,85,3.58,AU,1686679584
261,douglas,41.3,-96.167,300.9,35,0,3.6,US,1686679312
262,broken hill,-31.95,141.4333,281.59,80,10,4.04,AU,1686679584
263,escalquens,43.5174,1.5589,295.99,81,91,3.52,FR,1686679585
264,korla,41.7597,86.1469,300.63,30,61,4.93,CN,1686679326
265,raigarh,21.9,83.4,306.55,42,67,6.41,IN,1686679342
266,mili,6.0815,171.735,301.01,79,93,6.71,MH,1686679586
267,murakami,38.2333,139.4833,291.79,95,100,1.31,JP,1686679586
268,pacific grove,36.6177,-121.9166,290.18,82,100,4.02,US,1686679587
269,rudnyy,52.9594,63.1206,287.28,50,6,3.86,KZ,1686679587
270,itaituba,-4.2761,-55.9836,308.79,36,17,2.31,BR,1686679587
271,severo-yeniseyskiy,60.3725,93.0408,276.76,96,91,1.57,RU,1686679398
272,fiambala,-27.6871,-67.6149,281.82,41,5,1.1,AR,1686679588
273,bamboo flat,11.7,92.7167,301.0,85,89,7.37,IN,1686679588
274,tsiombe,-25.3,45.4833,292.12,62,3,3.15,MG,1686679589
275,mandalgovi,45.7625,106.2708,289.58,65,52,6.88,MN,1686679589
276,kyabe,9.4515,18.9449,300.38,63,72,1.84,TD,1686679590
277,trenggalek,-8.05,111.7167,296.77,93,99,2.37,ID,1686679590
278,mirny,62.5353,113.9611,281.98,50,100,1.73,RU,1686679491
279,farafangana,-22.8167,47.8333,294.17,86,1,2.56,MG,1686679590
280,petrosino,37.7077,12.4999,298.07,69,100,2.07,IT,1686679591
281,el nido,11.1858,119.3956,300.85,79,100,1.15,PH,1686679591
282,kailua-kona,19.6406,-155.9956,301.13,76,0,5.14,US,1686679592
283,naze,28.3667,129.4833,295.87,90,100,3.36,JP,1686679592
284,atafu village,-8.5421,-172.5159,301.31,76,28,5.41,TK,1686679592
285,olonkinbyen,70.9221,-8.7187,276.02,89,34,12.11,SJ,1686679593
286,beli,7.8587,10.9719,297.96,88,98,0.84,NG,1686679593
287,murzuq,25.9155,13.9184,307.27,14,0,2.7,LY,1686679594
288,carnarvon,-24.8667,113.6333,289.75,39,0,7.75,AU,1686679594
289,yulinshi,38.2906,109.7494,295.06,21,0,1.49,CN,1686679594
290,lautoka,-17.6167,177.4667,293.07,94,20,2.06,FJ,1686679572
291,kirakira,-10.4544,161.9205,298.96,86,12,2.54,SB,1686679595
292,huatabampo,26.8333,-109.6333,307.58,18,100,4.67,MX,1686679595
293,derbent,42.0678,48.2899,296.67,78,57,3.42,RU,1686679310
294,illizi,26.4833,8.4667,313.56,6,33,6.66,DZ,1686679596
295,eldorado at santa fe,35.5264,-105.9347,297.25,20,0,4.12,US,1686679597
296,camiri,-20.05,-63.5167,286.39,43,92,3.87,BO,1686679597
